,股票代码,股票名称,最新价,涨幅,3日均线,5日均线,10日均线,3日均线涨幅,5日均线涨幅,10日均线涨幅
3075,603000,人民网,25.56,9.98,4,26,41,33.06,207.95,248.7
2986,601519,大智慧,10.73,10.05,13,19,18,178.7,213.74,203.11
352,000859,国风塑业,9.08,10.06,4,4,18,22.04,22.04,193.85
2201,600131,岷江水电,19.00,4.45,14,14,14,179.0,179.0,179.0
1045,002600,领益智造,7.26,10.0,5,8,18,46.67,55.79,152.08
2912,601066,中信建投,28.33,10.02,4,20,23,28.02,142.55,147.64
2734,600776,东方通信,36.81,10.01,3,3,17,21.01,21.01,143.29
611,002157,正邦科技,15.44,9.97,3,4,26,19.41,31.4,143.15
906,002458,益生股份,41.30,-3.5,-1,18,20,0.0,126.43,142.94
1447,300085,银之杰,19.32,10.02,9,19,18,96.94,153.88,139.7
1754,300397,天和防务,22.79,6.95,3,18,17,17.66,139.64,135.68
687,002234,民和股份,27.89,0.87,4,4,34,11.78,11.78,134.37
3266,603383,顶点软件,78.30,10.0,10,19,19,89.36,130.97,130.97
126,000536,华映科技,4.43,5.98,4,4,17,16.58,16.58,121.5
149,000563,陕国投Ａ,6.23,7.6,4,19,18,20.97,122.5,118.6
2581,600604,市北高新,15.73,10.0,3,18,15,21.0,128.63,110.86
2452,600446,金证股份,24.08,10.0,4,4,19,15.22,15.22,109.57
3000,601608,中信重工,5.73,9.98,9,20,19,91.0,111.44,109.12
2769,600816,安信信托,8.81,9.99,3,2,17,13.24,9.99,107.29
269,000727,华东科技,3.21,9.93,4,4,18,33.2,33.2,105.77
1959,300612,宣亚国际,29.95,3.85,13,18,15,99.14,113.02,105.42
2586,600610,*ST毅达,3.99,5.0,19,18,17,125.42,114.52,104.62
1397,300033,同花顺,87.50,5.46,4,20,20,8.02,104.53,104.53
1188,002750,龙津药业,11.66,10.0,19,18,17,109.34,104.56,102.08
2967,601319,中国人保,11.66,10.0,4,13,13,33.11,98.64,98.64
3035,601860,紫金银行,10.73,10.05,9,9,16,79.43,79.43,98.34
29,000037,深南电A,9.93,-2.26,-1,16,15,0.0,97.02,93.95
2293,600238,*ST椰岛,9.13,1.67,5,3,44,9.6,6.78,93.43
2053,300710,万隆光电,40.08,9.99,9,18,16,79.33,98.91,91.77
476,002017,东信和平,18.74,9.98,4,12,12,33.1,89.68,89.68
2161,600086,东方金钰,6.56,10.07,4,3,17,33.06,21.03,88.51
3045,601890,亚星锚链,7.06,9.97,8,18,17,63.43,88.27,86.28
1983,300638,广和通,51.28,7.1,10,19,18,65.95,91.56,84.13
1891,300538,同益股份,36.43,9.99,5,9,17,46.42,68.66,81.42
3466,603888,新华网,24.23,9.24,4,3,25,11.5,7.93,80.82
2918,601099,太平洋,4.71,6.32,12,19,18,62.98,83.98,80.46
2588,600613,神奇制药,9.10,10.04,5,18,18,46.3,80.2,80.2
1382,300017,网宿科技,14.29,10.01,4,4,18,33.05,33.05,79.75
1711,300352,北信源,5.87,0.34,5,9,42,10.75,24.63,78.42
1373,300008,天海防务,4.60,10.05,8,17,16,46.5,85.48,78.29
1720,300362,天翔环境,7.26,3.86,4,5,15,19.8,31.76,77.94
2167,600094,大名城,6.45,6.26,19,19,17,80.67,80.67,77.69
2621,600651,飞乐音响,5.27,10.02,5,17,14,46.8,81.72,77.44
2649,600685,中船防务,17.58,2.75,13,19,18,65.54,82.74,75.98
1111,002668,奥马电器,6.88,10.08,4,4,15,27.64,27.64,75.96
751,002299,圣农发展,28.69,-1.27,-1,5,46,0.0,8.96,75.26
2371,600331,宏达股份,4.16,5.32,3,18,15,15.88,84.07,74.79
2406,600375,华菱星马,6.69,10.03,5,18,17,46.39,78.88,74.67
3508,603986,兆易创新,106.95,0.54,3,10,29,10.59,38.7,74.41
1364,002945,华林证券,16.68,10.03,4,9,21,14.25,45.3,73.39
1423,300059,东方财富,22.22,4.42,5,13,20,13.37,53.56,72.65
2506,600518,康美药业,11.55,3.59,1,8,18,0.0,17.02,72.65
1184,002746,仙坛股份,24.14,-1.79,-1,7,39,0.0,1.0,72.31
629,002175,东方网络,5.27,10.02,4,9,16,33.42,57.78,72.22
52,000070,特发信息,17.49,3.86,3,3,18,7.43,7.43,72.15
971,002526,山东矿机,3.40,0.29,4,19,18,20.57,77.08,70.85
783,002333,罗普斯金,8.72,9.96,5,9,18,29.76,50.34,69.98
1639,300279,和晶科技,7.73,9.96,4,4,17,33.05,33.05,69.52
2550,600571,信雅达,11.85,6.47,3,18,17,7.83,69.53,69.29
550,002095,生 意 宝,32.10,10.01,2,19,18,10.01,73.61,68.59
2549,600570,恒生电子,89.70,2.37,1,13,39,0.0,26.32,68.2
345,000839,中信国安,5.66,8.02,3,3,19,18.91,18.91,67.95
1381,300016,北陆药业,11.08,1.74,9,9,18,53.46,53.46,67.88
2295,600240,华业资本,3.85,3.22,4,4,15,19.57,19.57,67.39
360,000876,新 希 望,12.97,0.78,4,4,29,14.07,14.07,67.35
1736,300379,东方通,25.29,10.0,3,8,19,21.0,26.45,67.15
578,002123,梦网集团,13.36,7.14,3,9,19,7.74,52.34,66.58
2522,600536,中国软件,36.80,8.27,3,3,18,16.53,16.53,66.52
1113,002670,国盛金控,15.60,5.83,4,4,18,28.08,28.08,66.13
1537,300175,朗源股份,6.84,9.97,5,9,18,46.47,53.71,66.02
3131,603081,大丰实业,18.44,7.33,3,3,17,14.18,14.18,65.83
3318,603583,捷昌驱动,69.30,-1.49,-2,-1,34,-1.49,0.0,65.71
438,000977,浪潮信息,27.60,10.0,3,3,25,16.41,16.41,65.07
898,002450,康得新,7.58,4.99,8,17,16,40.63,73.06,64.78
832,002384,东山精密,17.20,-2.44,3,2,21,7.23,-2.44,64.59
2512,600525,长园集团,7.42,4.8,3,19,18,5.1,70.57,64.52
3068,601990,南京证券,15.05,10.01,3,19,17,10.42,67.97,64.48
871,002423,中原特钢,13.56,2.57,1,18,16,0.0,66.79,63.77
50,000068,华控赛格,6.89,-0.29,3,3,18,1.03,1.03,63.66
159,000576,广东甘化,10.82,3.64,8,8,22,42.56,42.56,63.2
2923,601108,财通证券,12.39,10.04,4,3,18,17.11,15.15,62.6
1207,002771,真视通,18.49,9.99,5,9,17,34.96,43.44,62.48
1728,300370,安控科技,4.33,9.9,8,8,15,39.23,39.23,62.17
2137,600061,国投资本,14.88,9.98,3,3,19,9.82,9.82,62.09
958,002512,达华智能,6.77,10.08,5,9,16,27.5,39.88,61.96
1757,300400,劲拓股份,23.15,-1.49,5,5,18,20.45,20.45,61.89
1726,300368,汇金股份,9.82,9.97,3,18,16,12.1,66.16,61.51
2443,600425,青松建化,5.13,4.27,8,8,18,45.74,45.74,61.32
2166,600093,易见股份,13.35,9.97,3,3,18,20.92,20.92,61.23
3257,603363,傲农生物,13.43,9.99,3,3,18,12.29,12.29,61.22
647,002194,*ST凡谷,12.51,5.04,5,5,20,21.57,21.57,61.21
2518,600531,豫光金铅,5.95,4.94,19,19,18,64.36,64.36,60.81
1514,300152,科融环境,3.07,3.37,8,19,17,31.76,70.56,60.73
433,000971,高升控股,5.01,10.11,3,19,16,21.01,73.96,60.58
1051,002607,亚夏汽车,12.09,-1.95,-1,-1,31,0.0,0.0,60.56
2733,600775,南京熊猫,13.05,5.84,3,3,18,16.41,16.41,60.32
2147,600072,中船科技,11.85,10.03,12,18,18,49.81,59.92,59.92
3042,601881,中国银河,12.47,6.49,1,4,19,0.0,6.31,59.87
2028,300684,中石科技,42.45,-1.96,-1,-1,27,0.0,0.0,59.83
1487,300125,易世达,22.46,9.99,5,18,15,37.2,61.82,59.74
904,002456,欧菲科技,14.70,-1.93,3,3,28,3.52,3.52,59.61
2646,600682,南京新百,14.36,10.04,5,21,19,26.08,62.63,59.56
877,002429,兆驰股份,3.30,3.12,4,8,18,18.28,17.44,59.42
1928,300579,数字认证,37.40,8.03,4,2,18,12.85,8.03,59.28
924,002477,雏鹰农牧,2.58,1.57,3,4,18,3.2,5.74,59.26
2117,600030,中信证券,26.70,7.66,4,4,35,9.16,9.16,58.93
112,000518,四环生物,5.03,2.44,3,8,17,1.82,16.44,58.68
2634,600666,奥瑞德,4.31,9.95,4,3,17,14.93,13.42,58.46
2001,300657,弘信电子,49.99,9.01,4,4,19,18.18,18.18,58.2
1100,002657,中科金财,20.01,10.01,4,3,18,14.74,12.42,58.18
1707,300348,长亮科技,26.97,0.26,4,4,18,2.86,2.86,58.18
964,002518,科士达,12.68,4.45,3,3,19,12.81,12.81,58.1
1477,300115,长盈精密,12.39,1.64,2,2,19,1.64,1.64,58.04
1532,300170,汉得信息,16.79,10.03,4,3,19,33.15,21.05,57.95
2763,600809,山西汾酒,55.10,-0.36,6,6,36,14.06,14.06,57.38
2717,600756,浪潮软件,25.53,10.0,3,3,20,21.0,21.0,57.11
53,000078,海王生物,4.98,5.06,5,19,18,22.96,61.17,57.1
2596,600621,华鑫股份,13.85,8.29,3,4,18,7.78,9.92,57.03
267,000725,京东方Ａ,4.30,-2.71,-1,4,18,0.0,0.47,56.93
975,002530,金财互联,9.69,2.11,5,19,18,13.73,60.96,56.8
1780,300424,航新科技,22.37,-5.29,-1,19,18,0.0,60.24,56.54
1572,300211,亿通科技,7.78,0.0,3,2,18,10.04,0.0,56.22
935,002488,金固股份,10.42,10.03,3,18,17,21.02,59.82,55.75
2614,600643,爱建集团,13.29,4.48,3,3,19,3.75,3.75,55.44
49,000066,中国长城,7.69,-1.16,4,3,39,10.01,8.46,55.35
2146,600071,凤凰光学,12.71,9.76,9,9,18,34.5,34.5,55.0
2857,600958,东方证券,13.14,4.29,1,1,19,0.0,0.0,54.95
2713,600751,海航科技,4.23,4.19,3,3,16,14.63,14.63,54.95
2333,600288,大恒科技,11.10,10.01,5,3,18,32.78,21.05,54.81
255,000711,京蓝科技,8.00,10.04,3,3,14,21.03,21.03,54.74
1737,300380,安硕信息,24.52,4.97,3,9,18,8.02,36.22,54.7
2606,600635,大众公用,7.05,4.14,3,3,16,14.63,14.63,54.61
2791,600839,四川长虹,3.83,10.06,9,9,18,45.08,45.08,54.44
2952,601216,君正集团,4.17,2.46,13,19,18,44.79,57.95,54.44
1821,300465,高伟达,9.08,4.85,4,18,18,11.0,54.42,54.42
2937,601162,天风证券,11.30,10.03,3,3,18,11.33,11.33,54.37
1367,300002,神州泰岳,5.09,0.39,3,19,17,10.41,61.59,54.24
2576,600599,熊猫金控,15.45,6.99,1,4,17,0.0,5.82,54.19
468,002009,天奇股份,12.17,8.27,9,9,19,31.14,31.14,54.05
573,002118,紫鑫药业,7.84,6.96,5,5,17,16.49,16.49,53.73
1907,300555,路通视信,12.64,-0.16,4,2,17,7.67,-0.16,53.58
2551,600572,康恩贝,9.05,9.96,5,13,18,10.77,47.88,53.39
47,000063,中兴通讯,31.30,-1.11,5,3,19,5.03,3.27,53.36
2007,300663,科蓝软件,22.23,3.4,9,18,18,26.59,53.31,53.31
1779,300423,鲁亿通,28.40,0.11,10,19,19,22.63,53.26,53.26
1599,300238,冠昊生物,14.88,3.77,9,9,17,39.72,39.72,53.09
1588,300227,光韵达,14.88,2.9,6,18,18,22.47,52.93,52.93
1533,300171,东富龙,10.47,2.85,10,18,16,46.23,56.5,52.85
1828,300472,新元科技,21.16,-1.99,6,19,18,19.89,57.56,52.78
997,002552,*ST宝鼎,8.90,10.01,3,3,17,15.58,15.58,52.66
