,股票代码,股票名称,最新价,涨幅,3日均线,5日均线,10日均线,3日均线涨幅,5日均线涨幅,10日均线涨幅
3307,603579,荣泰健康,34.57,1.68,2,2,17,1.68,1.68,19.33
3106,603040,新坐标,29.58,1.06,4,17,16,4.23,20.2,19.32
1391,300030,阳普医疗,6.18,5.28,4,17,15,6.0,24.85,19.31
1328,002907,华森制药,20.64,0.98,4,18,17,2.69,22.2,19.31
1594,300237,美晨生态,4.76,3.7,2,2,17,3.7,3.7,19.3
2773,600824,益民集团,4.08,3.03,8,17,16,10.87,21.07,19.3
2563,600590,泰豪科技,6.80,4.29,8,18,16,11.48,23.19,19.3
2992,601600,中国铝业,4.39,2.09,7,18,17,6.3,21.27,19.29
926,002479,富春环保,5.38,2.28,2,2,16,2.28,2.28,19.29
1500,300142,沃森生物,22.52,4.36,3,7,18,5.83,12.26,19.28
2715,600759,洲际油气,3.22,2.22,2,18,16,2.22,27.27,19.26
1369,300006,莱美药业,4.52,2.26,1,2,17,0.0,2.26,19.26
57,000096,广聚能源,10.84,0.56,8,17,17,9.16,19.25,19.25
3145,603118,共进股份,8.31,3.75,3,3,17,3.62,3.62,19.23
2217,600159,大龙地产,3.04,1.67,2,2,17,1.67,1.67,19.22
249,000707,*ST双环,3.60,1.98,3,17,15,1.98,20.81,19.21
1612,300255,常山药业,5.15,1.78,2,12,17,1.78,14.19,19.21
1108,002667,鞍重股份,7.88,2.2,8,8,15,13.71,13.71,19.21
405,000935,四川双马,17.76,1.37,3,8,17,1.72,7.12,19.19
2256,600202,*ST哈空,4.35,0.23,8,17,16,12.11,21.51,19.18
1756,300403,汉宇集团,6.09,5.73,8,12,17,13.83,15.34,19.18
3297,603556,海兴电力,16.35,4.67,4,8,17,5.21,10.03,19.17
719,002269,美邦服饰,2.86,1.42,8,17,16,12.16,21.7,19.17
1751,300398,飞凯材料,18.35,3.91,2,2,16,3.91,3.91,19.16
817,002369,卓翼科技,9.33,5.3,2,2,17,5.3,5.3,19.16
239,000691,亚太实业,4.85,2.97,4,8,17,4.3,9.48,19.16
2810,600866,星湖科技,3.92,3.16,1,18,17,0.0,20.62,19.15
863,002415,海康威视,35.78,-0.47,3,2,19,3.14,-0.47,19.15
1113,002672,东江环保,12.51,-0.24,2,2,17,-0.24,-0.24,19.14
2568,600596,新安股份,12.76,0.55,3,12,18,0.95,10.19,19.14
31,000039,中集集团,13.70,1.48,3,18,18,1.86,19.13,19.13
2241,600186,莲花健康,2.18,2.35,1,1,15,0.0,0.0,19.13
720,002270,华明装备,5.48,3.01,2,2,14,3.01,3.01,19.13
2957,601238,广汽集团,12.27,1.07,3,2,20,1.49,1.07,19.13
3343,603638,艾迪精密,28.78,3.56,3,3,16,4.54,4.54,19.12
1985,300642,透景生命,43.05,1.58,4,8,17,3.11,10.73,19.12
1544,300187,永清环保,6.42,1.42,2,2,17,1.42,1.42,19.11
449,000998,隆平高科,15.83,0.25,3,2,17,0.83,0.25,19.11
2997,601611,中国核建,8.30,2.47,8,8,17,12.31,12.31,19.08
431,000972,ST中基,3.37,2.12,4,8,16,5.64,11.59,19.08
48,000065,北方国际,9.30,0.98,1,18,17,0.0,21.57,19.08
313,000800,一汽轿车,8.49,1.07,1,18,17,0.0,23.22,19.07
182,000610,西安旅游,8.74,4.05,2,2,15,4.05,4.05,19.07
558,002105,信隆健康,4.87,2.53,4,17,16,6.1,21.45,19.07
1272,002846,英联股份,12.30,1.74,2,1,16,1.74,0.0,19.07
3458,603887,城地股份,17.24,6.55,8,7,17,15.78,11.37,19.06
753,002303,美盈森,5.31,0.95,4,17,17,1.53,19.06,19.06
514,002060,粤 水 电,3.50,1.74,3,3,19,2.64,2.64,19.05
3033,601869,长飞光纤,48.62,2.25,2,2,17,2.25,2.25,19.05
2823,600880,博瑞传播,4.25,3.66,7,17,15,6.25,23.55,19.05
2243,600188,兖州煤业,10.82,-0.18,-1,12,18,0.0,14.86,19.03
2991,601599,鹿港文化,3.82,6.11,1,1,18,0.0,0.0,19.0
1506,300148,天舟文化,4.70,4.68,2,1,13,4.68,0.0,18.99
2062,300723,一品红,34.15,0.59,2,8,18,0.59,9.14,18.99
1441,300081,恒信东方,10.78,6.31,4,4,17,7.05,7.05,18.98
1523,300165,天瑞仪器,5.02,3.72,4,8,16,3.93,10.57,18.96
200,000632,三木集团,4.58,2.23,3,18,16,2.69,23.12,18.96
2328,600287,江苏舜天,6.09,1.16,3,2,16,2.18,1.16,18.95
2714,600758,红阳能源,4.08,2.77,8,18,17,10.87,22.52,18.95
2244,600189,吉林森工,4.71,3.06,8,7,17,12.41,8.03,18.94
2767,600818,中路股份,12.38,4.21,4,18,15,4.65,22.94,18.92
67,000159,国际实业,5.03,0.6,2,2,17,0.6,0.6,18.91
1916,300567,精测电子,74.35,4.72,2,2,8,4.72,4.72,18.9
618,002166,莱茵生物,7.68,1.72,2,2,17,1.72,1.72,18.89
1765,300412,迦南科技,7.30,3.69,4,8,16,4.14,10.44,18.89
1572,300215,电科院,7.06,7.62,2,2,17,7.62,7.62,18.86
3404,603773,沃格光电,51.11,1.49,8,8,16,10.15,10.15,18.86
2521,600540,新赛股份,4.60,0.66,3,2,18,1.1,0.66,18.86
974,002529,海源复材,8.32,2.72,1,17,16,0.0,30.82,18.86
991,002546,新联电子,4.73,3.96,4,8,18,5.35,11.03,18.84
1699,300344,太空智造,7.38,2.79,8,8,17,11.48,11.48,18.84
1306,002883,中设股份,23.46,1.12,3,3,17,-0.34,-0.34,18.84
2895,601007,金陵饭店,9.66,-0.1,2,2,38,-0.1,-0.1,18.82
3149,603128,华贸物流,6.38,2.57,4,18,17,5.98,21.06,18.81
216,000663,永安林业,6.51,0.77,7,8,14,8.14,12.24,18.8
3030,601858,中国科传,10.68,2.1,2,1,19,2.1,0.0,18.8
3375,603701,德宏股份,13.15,2.26,4,17,16,3.14,19.98,18.79
583,002130,沃尔核材,4.49,2.05,2,2,15,2.05,2.05,18.78
2590,600620,天宸股份,6.83,3.48,8,12,21,15.76,18.17,18.78
3112,603055,台华新材,12.78,0.87,3,2,18,1.83,0.87,18.77
1616,300259,新天科技,3.67,4.26,2,1,17,4.26,0.0,18.77
2140,600070,浙江富润,8.10,3.45,1,1,8,0.0,0.0,18.77
1819,300466,赛摩电气,6.71,3.55,1,7,15,0.0,5.67,18.76
2303,600257,大湖股份,5.38,3.66,3,8,16,4.67,9.8,18.76
1982,300639,凯普生物,16.92,1.14,8,8,17,10.3,10.3,18.74
1122,002682,龙洲股份,5.26,2.14,8,8,17,11.44,11.44,18.74
1556,300199,翰宇药业,10.20,1.59,2,8,15,1.59,13.71,18.74
1396,300035,中科电气,5.77,2.85,4,2,18,3.59,2.85,18.72
1352,002933,新兴装备,52.31,0.13,2,7,15,0.13,10.71,18.72
155,000572,海马汽车,2.60,1.56,1,17,15,0.0,25.0,18.72
2130,600058,五矿发展,8.19,0.99,2,17,16,0.99,20.09,18.7
43,000059,华锦股份,6.92,2.22,2,2,18,2.22,2.22,18.7
946,002499,科林环保,8.38,1.58,2,2,16,1.58,1.58,18.7
2635,600675,中华企业,6.29,1.29,7,7,22,6.79,6.79,18.68
3426,603818,曲美家居,8.07,1.25,1,18,18,0.0,18.68,18.68
780,002331,皖通科技,10.55,2.53,3,1,16,2.53,0.0,18.67
2727,600773,西藏城投,7.44,2.34,4,18,17,3.77,21.17,18.66
3037,601880,大连港,2.29,0.88,2,1,17,0.88,0.0,18.65
1654,300299,富春股份,6.30,4.65,2,2,17,4.65,4.65,18.64
