,股票代码,股票名称,最新价,涨幅,3日均线,5日均线,10日均线,3日均线涨幅,5日均线涨幅,10日均线涨幅
2095,600076,康欣新材,5.23,2.95,4,4,19,10.11,10.11,24.52
1678,300363,博腾股份,10.82,-1.9,6,20,19,6.18,30.2,24.51
3066,603136,天目湖,36.60,-1.56,-1,19,18,0.0,25.99,24.49
74,000407,胜利股份,4.83,-0.41,5,5,19,13.38,13.38,24.48
1999,300706,阿石创,30.78,1.25,3,3,17,-1.03,-1.03,24.46
1014,002593,日上集团,4.02,3.61,5,10,19,8.06,13.56,24.46
413,000962,东方钽业,8.40,2.07,4,4,19,9.66,9.66,24.44
2203,600206,有研新材,8.91,2.18,5,4,19,8.26,7.09,24.44
651,002214,大立科技,7.59,2.15,3,10,19,5.12,15.88,24.43
3118,603283,赛腾股份,20.63,2.79,4,4,17,7.17,7.17,24.43
1220,002819,东方中科,26.09,-1.84,-1,4,14,0.0,10.08,24.42
304,000798,中水渔业,6.83,-0.87,-1,4,18,0.0,4.92,24.41
1193,002787,华源控股,8.36,2.45,3,10,20,3.85,14.21,24.4
1064,002645,华宏科技,9.18,-0.43,4,4,18,10.2,10.2,24.39
1405,300078,思创医惠,11.28,2.55,4,4,19,12.13,12.13,24.37
2467,600555,海航创新,3.47,4.2,9,18,16,13.03,26.18,24.37
1098,002679,福建金森,23.07,-1.83,-1,12,19,0.0,12.04,24.37
1114,002696,百洋股份,9.65,3.1,10,10,15,21.08,21.08,24.36
681,002244,滨江集团,4.70,-2.69,-1,-1,20,0.0,0.0,24.34
2016,300726,宏达电子,21.20,0.76,4,4,18,4.9,4.9,24.34
1890,300589,江龙船艇,13.96,-0.78,-1,19,18,0.0,25.31,24.31
1772,300462,华铭智能,18.92,2.55,4,4,15,10.71,10.71,24.31
1559,300237,美晨生态,4.96,2.27,4,4,19,8.06,8.06,24.31
23,000030,富奥股份,4.91,0.41,6,5,20,6.28,4.91,24.3
1822,300513,恒泰实达,26.70,1.91,4,4,18,4.91,4.91,24.3
1322,002933,新兴装备,54.76,3.57,4,9,17,4.82,15.89,24.29
589,002152,广电运通,6.96,0.58,3,10,19,-0.57,13.73,24.29
1365,300035,中科电气,6.04,1.34,6,4,20,8.44,7.66,24.28
1649,300333,兆日科技,9.58,2.02,6,19,17,8.13,28.59,24.25
2236,600241,时代万恒,7.07,2.17,6,20,19,6.64,26.25,24.25
1515,300192,科斯伍德,10.35,2.48,6,14,17,10.22,18.56,24.25
2073,600052,浙江广厦,3.69,1.1,5,19,18,8.53,26.37,24.24
3365,603887,城地股份,17.99,1.87,10,9,19,20.82,16.21,24.24
1633,300314,戴维医疗,10.51,0.0,-3,-2,18,-0.19,0.0,24.23
809,002379,宏创控股,3.95,4.77,4,4,19,12.22,12.22,24.21
2079,600058,五矿发展,8.57,2.63,4,19,18,5.67,25.66,24.2
914,002489,浙江永强,3.49,1.45,4,4,17,10.44,10.44,24.2
350,000877,天山股份,10.78,2.08,10,9,9,30.35,24.19,24.19
201,000638,万方发展,6.52,1.87,4,14,19,5.16,20.74,24.19
496,002054,德美化工,7.29,2.82,4,4,17,4.89,4.89,24.19
2020,300731,科创新源,28.13,1.92,4,4,17,7.61,7.61,24.19
692,002255,海陆重工,4.57,0.88,5,19,16,9.33,28.01,24.18
527,002087,新野纺织,4.57,2.7,6,4,19,9.33,8.04,24.18
374,000909,数源科技,8.63,1.41,4,4,18,8.15,8.15,24.17
2354,600388,龙净环保,13.00,-0.69,-2,6,29,-0.69,3.01,24.16
715,002279,久其软件,9.51,4.39,4,4,5,18.14,18.14,24.15
2210,600213,亚星客车,7.92,-1.98,-3,-1,17,-2.22,0.0,24.14
384,000921,海信家电,11.83,4.05,5,5,5,24.13,24.13,24.13
1156,002743,富煌钢构,7.15,3.77,10,20,19,16.26,26.77,24.13
3219,603579,荣泰健康,35.96,-0.96,4,4,19,5.76,5.76,24.13
968,002546,新联电子,4.94,0.82,6,10,20,10.02,15.96,24.12
463,002018,*ST华信,1.39,5.3,3,2,18,10.32,5.3,24.11
1965,300670,大烨智能,18.14,-1.52,5,5,18,6.58,6.58,24.08
2701,600825,新华传媒,6.91,-1.14,-1,4,16,0.0,5.18,24.06
2402,600470,六国化工,4.59,2.46,19,18,15,29.66,26.8,24.05
1600,300280,紫天科技,40.69,-10.0,-1,-1,20,0.0,0.0,24.05
847,002418,康盛股份,4.59,0.66,4,9,16,8.25,12.78,24.05
3056,603117,万林物流,4.54,3.18,5,20,19,9.13,27.53,24.04
547,002107,沃华医药,8.52,-0.35,-1,20,19,0.0,26.22,24.02
1792,300482,万孚生物,32.99,1.95,1,9,20,0.0,7.63,24.02
2518,600611,大众交通,5.06,5.86,5,10,19,11.21,16.06,24.02
2382,600433,冠豪高新,4.44,1.37,3,14,18,1.6,20.65,24.02
1569,300247,乐金健康,4.13,0.98,6,9,16,8.97,9.55,24.02
1386,300056,三维丝,6.51,5.17,6,5,18,11.47,9.41,24.0
2576,600683,京投发展,5.27,1.54,10,20,19,13.09,25.48,24.0
1427,300101,振芯科技,12.30,3.1,4,3,17,7.89,2.24,23.99
103,000510,金路集团,5.22,0.19,5,4,18,6.53,5.67,23.99
1338,300005,探路者,4.24,1.19,4,4,19,10.13,10.13,23.98
2646,600764,中国海防,29.26,-1.81,-1,20,18,0.0,25.69,23.98
2831,601058,赛轮轮胎,3.00,2.74,4,20,19,9.89,25.52,23.97
1493,300169,天晟新材,5.95,-0.67,3,3,18,2.23,2.23,23.96
90,000428,华天酒店,3.26,2.52,4,10,19,8.31,16.01,23.95
2601,600712,南宁百货,4.66,3.56,10,18,16,17.68,24.93,23.94
2763,600896,*ST海投,5.23,4.18,6,14,19,11.28,22.2,23.93
1905,300606,金太阳,20.26,-0.59,6,6,19,5.69,5.69,23.91
1897,300597,吉大通信,15.91,2.71,4,4,18,8.82,8.82,23.91
1953,300658,延江股份,14.25,7.22,2,19,18,7.22,26.55,23.91
1589,300268,佳沃股份,15.81,2.86,10,9,19,19.23,15.99,23.9
3002,603021,山东华鹏,7.05,1.59,6,14,19,4.14,14.26,23.9
619,002182,云海金属,8.14,0.74,3,3,19,2.65,2.65,23.9
728,002293,罗莱生活,11.36,3.09,10,9,20,17.6,12.36,23.88
2248,600257,大湖股份,5.61,2.94,5,10,18,9.14,14.49,23.84
2400,600468,百利电气,6.70,2.6,4,10,14,11.85,22.49,23.84
2594,600704,物产中大,6.08,4.83,5,10,19,10.14,16.48,23.83
391,000929,兰州黄河,7.85,3.84,6,19,18,9.33,25.6,23.82
1904,300605,恒锋信息,18.57,1.14,4,4,19,8.66,8.66,23.8
467,002022,科华生物,11.65,1.39,6,20,18,6.88,28.16,23.8
1276,002881,美格智能,21.80,5.83,6,4,17,12.43,11.22,23.79
