,股票代码,股票名称,最新价,涨幅,3日均线,5日均线,10日均线,3日均线涨幅,5日均线涨幅,10日均线涨幅
1473,601519,大智慧,12.98,10.0,15,21,20,237.14,279.53,266.67
1501,603000,人民网,25.99,-7.57,-1,28,43,0.0,213.13,254.57
1144,600131,岷江水电,20.90,10.0,16,16,16,206.9,206.9,206.9
266,002157,正邦科技,17.58,9.94,5,6,28,35.96,49.62,176.85
315,002234,民和股份,32.79,6.88,6,6,36,31.42,31.42,175.55
127,000859,国风塑业,8.10,-10.0,-1,-1,20,0.0,0.0,162.14
518,002600,领益智造,7.30,-8.64,-1,10,20,0.0,56.65,153.47
1444,601066,中信建投,28.04,-10.01,-1,22,25,0.0,140.07,145.1
587,002750,龙津药业,14.11,9.98,21,20,19,153.32,147.54,144.54
449,002458,益生股份,41.15,-0.27,-3,-1,22,-0.36,0.0,142.06
1377,600776,东方通信,36.44,-10.0,-1,5,19,0.0,19.79,140.85
1587,603383,顶点软件,80.67,-6.34,-1,21,21,0.0,137.96,137.96
706,300085,银之杰,19.13,-9.98,-1,21,20,0.0,151.38,137.34
187,002017,东信和平,22.67,10.0,6,14,14,61.01,129.45,129.45
665,300017,网宿科技,17.29,9.99,6,6,20,60.99,60.99,117.48
909,300397,天和防务,20.73,-8.6,-1,-1,19,0.0,0.0,114.37
102,000727,华东科技,3.30,-6.52,-1,6,20,0.0,36.93,111.54
1310,600604,市北高新,15.57,-10.0,-1,20,17,0.0,126.31,108.71
276,002175,东方网络,6.38,10.0,6,11,18,61.52,91.02,108.5
1312,600610,*ST毅达,4.06,-3.1,-1,20,19,0.0,118.28,108.21
877,300352,北信源,6.83,5.73,7,11,44,28.87,45.01,107.6
1236,600375,华菱星马,7.93,7.74,7,20,19,73.52,112.03,107.05
1478,601608,中信重工,5.67,-10.0,-1,22,21,0.0,109.23,106.93
1255,600446,金证股份,23.77,-10.0,-1,6,21,0.0,13.73,106.88
1278,600536,中国软件,44.53,10.0,5,5,20,41.01,41.01,101.49
759,300175,朗源股份,8.27,9.97,7,11,20,77.09,85.84,100.73
49,000536,华映科技,4.01,-10.09,-1,-1,19,0.0,0.0,100.5
1314,600613,神奇制药,10.00,-0.1,7,20,20,60.77,98.02,98.02
1465,601319,中国人保,11.55,-9.98,-1,15,15,0.0,96.76,96.76
1490,601860,紫金银行,10.62,-10.0,-1,11,18,0.0,77.59,96.3
893,300370,安控科技,5.24,10.08,10,10,17,68.49,68.49,96.25
1051,300638,广和通,54.34,10.0,1,21,20,0.0,102.99,95.12
169,000971,高升控股,6.06,9.98,5,21,18,46.38,110.42,94.23
671,300033,同花顺,81.90,-5.01,-1,-1,22,0.0,0.0,91.44
